name,alias,id,review_count,rating,url,location,coordinates
The Sweet Sap,the-sweet-sap-flushing,VnnuUGARPaTevTIIApWWVw,323,4.5,https://www.yelp.com/biz/the-sweet-sap-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11358'}","{'latitude': 40.7578205497777, 'longitude': -73.7917962842939}"
Fillmore's Tavern,fillmores-tavern-flushing,F212FpDO0usnEbWBmpDdKA,197,4.0,https://www.yelp.com/biz/fillmores-tavern-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11365'}","{'latitude': 40.73643, 'longitude': -73.8027}"
Hooters,hooters-fresh-meadows,PpX-FxKK2DcB17rnTVpEeg,530,2.5,https://www.yelp.com/biz/hooters-fresh-meadows?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Fresh Meadows', 'postal_code': '11365'}","{'latitude': 40.7407199542533, 'longitude': -73.7842514579938}"
The Oasis Cafe,the-oasis-cafe-flushing-3,grUacswReihhwYx9Ta0bAg,315,3.5,https://www.yelp.com/biz/the-oasis-cafe-flushing-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11358'}","{'latitude': 40.757503, 'longitude': -73.784331}"
Fitoor Cafe & Grill,fitoor-cafe-and-grill-fresh-meadows-2,qI18SQBMcNTNo4ZqosfEig,56,4.0,https://www.yelp.com/biz/fitoor-cafe-and-grill-fresh-meadows-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Fresh Meadows', 'postal_code': '11366'}","{'latitude': 40.7266456, 'longitude': -73.788371}"
Applebee's Grill + Bar,applebees-grill-bar-fresh-meadows,GXM9LNceu2QRSgtoVHAB-Q,277,2.5,https://www.yelp.com/biz/applebees-grill-bar-fresh-meadows?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Fresh Meadows', 'postal_code': '11365'}","{'latitude': 40.739212, 'longitude': -73.786394}"
Karaoke Christmas,karaoke-christmas-bayside,RHoBxNSt62ONxFk7h6B2Xw,159,4.0,https://www.yelp.com/biz/karaoke-christmas-bayside?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Bayside', 'postal_code': '11361'}","{'latitude': 40.75594, 'longitude': -73.76686}"
Silk Hookah Lounge & Grill,silk-hookah-lounge-and-grill-flushing,BaYtq_qUXc9_i_mPPsUy3w,137,3.5,https://www.yelp.com/biz/silk-hookah-lounge-and-grill-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11358'}","{'latitude': 40.75758, 'longitude': -73.78898}"
El Gauchito,el-gauchito-fresh-meadows-2,FZTx3y0PeGje5v6z3zwcbQ,72,3.5,https://www.yelp.com/biz/el-gauchito-fresh-meadows-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Fresh Meadows', 'postal_code': '11365'}","{'latitude': 40.7389851, 'longitude': -73.8098674}"
B.B.'S Pub and Grill,b-b-s-pub-and-grill-flushing,quq_3RgK5KQUqBad9CFeHA,37,3.5,https://www.yelp.com/biz/b-b-s-pub-and-grill-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11358'}","{'latitude': 40.7536482, 'longitude': -73.7942079}"
The Emerald Pub,the-emerald-pub-fresh-meadows,cgJfEfKLQUu9Fwkrc5Qidg,19,3.0,https://www.yelp.com/biz/the-emerald-pub-fresh-meadows?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Fresh Meadows', 'postal_code': '11365'}","{'latitude': 40.7401351928711, 'longitude': -73.7911682128906}"
Laterna Restaurant,laterna-restaurant-bayside-3,hNR713rfrHjF-V-fG2XUPw,43,3.5,https://www.yelp.com/biz/laterna-restaurant-bayside-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Bayside', 'postal_code': '11361'}","{'latitude': 40.756342, 'longitude': -73.7677809}"
Blutos,blutos-flushing,sMb9RzLmvkhL8Nx4H5pSgQ,10,4.5,https://www.yelp.com/biz/blutos-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11358'}","{'latitude': 40.756215, 'longitude': -73.804301}"
Parsons Ale House,parsons-ale-house-kew-gardens,CcgvqzQrrlbi9HCFZjQDGw,27,3.5,https://www.yelp.com/biz/parsons-ale-house-kew-gardens?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Kew Gardens', 'postal_code': '11367'}","{'latitude': 40.7207474112511, 'longitude': -73.8093435019255}"
Tori O'Toole's,tori-o-tooles-flushing-2,dQ4GFwP5wCMIk0orfRd7eQ,12,3.5,https://www.yelp.com/biz/tori-o-tooles-flushing-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11367'}","{'latitude': 40.7404589, 'longitude': -73.8152305}"
Firefly,firefly-flushing,QrfNvP4RSrQKxZ9d2NDefg,5,5.0,https://www.yelp.com/biz/firefly-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11358'}","{'latitude': 40.758145, 'longitude': -73.787137}"
Dr. Sea Sealicious,dr-sea-sealicious-flushing,f1MSMLQPpY_-L4YnWgUPcQ,27,3.0,https://www.yelp.com/biz/dr-sea-sealicious-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11355'}","{'latitude': 40.755368, 'longitude': -73.815613}"
Aunt Liu's Private Kitchen,aunt-lius-private-kitchen-flushing,Hr3KkPNfisiXVHyf2xHcmw,1,4.0,https://www.yelp.com/biz/aunt-lius-private-kitchen-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11355'}","{'latitude': 40.75533, 'longitude': -73.81566}"
McGully Alley,mcgully-alley-flushing,rMZucUKIGxQL7t4u-ajcAQ,2,2.0,https://www.yelp.com/biz/mcgully-alley-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11358'}","{'latitude': 40.757575, 'longitude': -73.788882}"
