name,alias,id,review_count,rating,url,location,coordinates
O Lavrador,o-lavrador-jamaica-2,d61Ejg_qQGTATqh67c912g,242,4.0,https://www.yelp.com/biz/o-lavrador-jamaica-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Jamaica', 'postal_code': '11435'}","{'latitude': 40.694454, 'longitude': -73.809419}"
A-Churrasqueira Restaurant & Bar,a-churrasqueira-restaurant-and-bar-jamaica,V9rDr5Nb1ciKSU0LR74ocg,111,4.0,https://www.yelp.com/biz/a-churrasqueira-restaurant-and-bar-jamaica?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Jamaica', 'postal_code': '11435'}","{'latitude': 40.697755, 'longitude': -73.805755}"
Vibes,vibes-jamaica-2,i1fs2DRTIoKy1sNr3Gx-5g,212,3.5,https://www.yelp.com/biz/vibes-jamaica-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Jamaica', 'postal_code': '11435'}","{'latitude': 40.6920219729081, 'longitude': -73.8093984872103}"
Queens Bully,queens-bully-forest-hills,zzcUX6-fwxpVsRYG96f9Ig,690,3.5,https://www.yelp.com/biz/queens-bully-forest-hills?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7170627254763, 'longitude': -73.8354855220902}"
Singh's Roti Shop & Bar,singhs-roti-shop-and-bar-south-richmond-hill,5g7Kz9ffnv7t47oaomIlqA,236,3.5,https://www.yelp.com/biz/singhs-roti-shop-and-bar-south-richmond-hill?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'South Richmond Hill', 'postal_code': '11419'}","{'latitude': 40.6901083, 'longitude': -73.8144673}"
Austin's Ale House,austins-ale-house-kew-gardens,YIFgTJUuihaHnEjWPSdABg,450,3.5,https://www.yelp.com/biz/austins-ale-house-kew-gardens?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Kew Gardens', 'postal_code': '11415'}","{'latitude': 40.709375, 'longitude': -73.830072}"
Majnoon Cafe,majnoon-cafe-ozone-park,DhDjZXjypbqLYmr7gvu_BQ,28,4.5,https://www.yelp.com/biz/majnoon-cafe-ozone-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Ozone Park', 'postal_code': '11419'}","{'latitude': 40.68893, 'longitude': -73.81653}"
C Bar & Lounge,c-bar-and-lounge-richmond-hill-2,O9c5b_bs3Nfk81ljzkQxZw,56,4.0,https://www.yelp.com/biz/c-bar-and-lounge-richmond-hill-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Richmond Hill', 'postal_code': '11418'}","{'latitude': 40.6993, 'longitude': -73.83091}"
Crazy Willy's,crazy-willys-richmond-hill,daelr9o_gCtvJYdlGkRWcQ,177,3.5,https://www.yelp.com/biz/crazy-willys-richmond-hill?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Richmond Hill', 'postal_code': '11418'}","{'latitude': 40.69942, 'longitude': -73.83211}"
Cobblestones Pub and Biergarten,cobblestones-pub-and-biergarten-forest-hills,Xkz2uUnAM2ckYIUqxI0NPw,246,3.5,https://www.yelp.com/biz/cobblestones-pub-and-biergarten-forest-hills?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7150622, 'longitude': -73.8327231}"
Hangar 11 Bar & Grill,hangar-11-bar-and-grill-kew-gardens,iQZYOzNB7b-vTF806dlbYA,156,3.5,https://www.yelp.com/biz/hangar-11-bar-and-grill-kew-gardens?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Kew Gardens', 'postal_code': '11415'}","{'latitude': 40.7061098292587, 'longitude': -73.8311260566115}"
Cheap Shots,cheap-shots-flushing,LUNVZXFSHGKKafZo0t4Ktg,91,3.5,https://www.yelp.com/biz/cheap-shots-flushing?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Flushing', 'postal_code': '11367'}","{'latitude': 40.7188189, 'longitude': -73.8136349}"
La Sala by Tu Casa,la-sala-by-tu-casa-kew-gardens-2,F5YKnCOtmaDWLjL3Hu2tgQ,36,4.5,https://www.yelp.com/biz/la-sala-by-tu-casa-kew-gardens-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Kew Gardens', 'postal_code': '11418'}","{'latitude': 40.707369, 'longitude': -73.835057}"
Caribbean Cabana,caribbean-cabana-richmond-hill,Swq7fTxSpoTUY1UBk8oOKA,92,3.5,https://www.yelp.com/biz/caribbean-cabana-richmond-hill?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Richmond Hill', 'postal_code': '11418'}","{'latitude': 40.6989849, 'longitude': -73.833035}"
The Dart Inn,the-dart-inn-briarwood,XUrbMZ_9wtP47LdnXvzNiA,14,4.5,https://www.yelp.com/biz/the-dart-inn-briarwood?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Briarwood', 'postal_code': '11432'}","{'latitude': 40.71515, 'longitude': -73.80795}"
