name,alias,id,review_count,rating,url,location,coordinates
Mr. Dre's Kitchen Bar,mr-dres-kitchen-bar-college-point,G2-FXcFjhmirFq3EtiyZig,154,4.0,https://www.yelp.com/biz/mr-dres-kitchen-bar-college-point?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'College Point', 'postal_code': '11356'}","{'latitude': 40.7843337, 'longitude': -73.8456543}"
CP Grill,cp-grill-college-point,9C984UHFFn5zpYjEQimPHg,68,4.5,https://www.yelp.com/biz/cp-grill-college-point?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'College Point', 'postal_code': '11356'}","{'latitude': 40.7861887217582, 'longitude': -73.8371142752518}"
Delta Sky Club,delta-sky-club-east-elmhurst-2,lubgFHopW9g5e7pMm9jQ6g,92,4.0,https://www.yelp.com/biz/delta-sky-club-east-elmhurst-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'East Elmhurst', 'postal_code': '11371'}","{'latitude': 40.769067, 'longitude': -73.862026}"
CJ's Pub,cjs-pub-college-point,hB-epUcVQFPPs0IAMPFPNg,13,4.5,https://www.yelp.com/biz/cjs-pub-college-point?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'College Point', 'postal_code': '11356'}","{'latitude': 40.7893142700195, 'longitude': -73.8452987670898}"
Buffalo Wild Wings,buffalo-wild-wings-college-point-4,6fHFCN8JOpaQe7vxx5pq9w,373,2.0,https://www.yelp.com/biz/buffalo-wild-wings-college-point-4?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'College Point', 'postal_code': '11356'}","{'latitude': 40.7821215420044, 'longitude': -73.8337603211403}"
Delta Sky Club,delta-sky-club-east-elmhurst-3,4K7MI-RPMo3bbtDE9dayJw,54,4.0,https://www.yelp.com/biz/delta-sky-club-east-elmhurst-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'East Elmhurst', 'postal_code': '11371'}","{'latitude': 40.771688168234, 'longitude': -73.8655870139557}"
Parkside Pub,parkside-pub-whitestone,d4RCVqhTlT1xe5MvWWthIg,9,5.0,https://www.yelp.com/biz/parkside-pub-whitestone?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Whitestone', 'postal_code': '11357'}","{'latitude': 40.77699, 'longitude': -73.81779}"
The Stonebridge,the-stonebridge-whitestone,TdvK71lpWxtg35Dsa2orCg,15,4.0,https://www.yelp.com/biz/the-stonebridge-whitestone?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Whitestone', 'postal_code': '11357'}","{'latitude': 40.78667, 'longitude': -73.822}"
Cotto,cotto-east-elmhurst,fdtbY-CdTSItF0EkMMnYtA,116,2.5,https://www.yelp.com/biz/cotto-east-elmhurst?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'East Elmhurst', 'postal_code': '11371'}","{'latitude': 40.7726351447336, 'longitude': -73.8652746557265}"
King Of Spades,king-of-spades-queens,kReOZidSlqEI3UmBnbMZWQ,5,4.0,https://www.yelp.com/biz/king-of-spades-queens?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Queens', 'postal_code': '11356'}","{'latitude': 40.7848602984481, 'longitude': -73.8456698040768}"
