name,alias,id,review_count,rating,url,location,coordinates
Dolce Vita,dolce-vita-brooklyn,bH6kFlRLtfIo2dtjs1gJ8g,37,4.5,https://www.yelp.com/biz/dolce-vita-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11234'}","{'latitude': 40.619697, 'longitude': -73.918792}"
Terra Cafe,terra-cafe-brooklyn-3,Wi3BncxVwN4z02JxmjZ4Lw,158,4.0,https://www.yelp.com/biz/terra-cafe-brooklyn-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11235'}","{'latitude': 40.5856, 'longitude': -73.95178}"
Sip Unwine,sip-unwine-brooklyn,7lPqxohBRjnpJjvNjRQUoA,160,4.0,https://www.yelp.com/biz/sip-unwine-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11226'}","{'latitude': 40.64101, 'longitude': -73.95592}"
Bellyful,bellyful-brooklyn,SCoO6GaTZVluTzAsazH5Tg,108,3.5,https://www.yelp.com/biz/bellyful-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11234'}","{'latitude': 40.620334, 'longitude': -73.927292}"
Tete A Tete,tete-a-tete-brooklyn,F1T2WFjUUC0PlRYRuE4ZSw,247,3.5,https://www.yelp.com/biz/tete-a-tete-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11235'}","{'latitude': 40.5875314772129, 'longitude': -73.9551550894976}"
Anyway Cafe,anyway-cafe-brooklyn,vlbcANpA_kT3nFsa6971Zg,111,4.0,https://www.yelp.com/biz/anyway-cafe-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11229'}","{'latitude': 40.594936, 'longitude': -73.954414}"
Buckley's Restaurant and Catering,buckleys-restaurant-and-catering-brooklyn,7O8RMiHmijSFFjB9FCBx2Q,130,3.5,https://www.yelp.com/biz/buckleys-restaurant-and-catering-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11229'}","{'latitude': 40.60492, 'longitude': -73.94308}"
La Vue,la-vue-brooklyn,4pNgTzw8Ru4bW7hXAeO6eA,136,3.5,https://www.yelp.com/biz/la-vue-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11235'}","{'latitude': 40.58395, 'longitude': -73.93277}"
3rd & 7,3rd-and-7-brooklyn,enbGceHhbBWe4cgMSePd1g,78,3.5,https://www.yelp.com/biz/3rd-and-7-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11234'}","{'latitude': 40.61497, 'longitude': -73.93606}"
Hook & Reel Cajun Seafood & Bar,hook-and-reel-cajun-seafood-and-bar-brooklyn-3,zkJTvJNQMutqyOUgqZRvhA,57,4.0,https://www.yelp.com/biz/hook-and-reel-cajun-seafood-and-bar-brooklyn-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11234'}","{'latitude': 40.626735, 'longitude': -73.91693933}"
The Juicy Box,the-juicy-box-brooklyn,MgGY2TEfFCyzxmMzcqAO6w,70,3.5,https://www.yelp.com/biz/the-juicy-box-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11210'}","{'latitude': 40.629069, 'longitude': -73.947001}"
