name,alias,id,review_count,rating,url,location,coordinates
The Farm On Adderley,the-farm-on-adderley-brooklyn,D1jp3pfGvyYyaXBN8iJRBg,1189,4.0,https://www.yelp.com/biz/the-farm-on-adderley-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.63965, 'longitude': -73.96754}"
MangoSeed Restaurant,mangoseed-restaurant-brooklyn-2,DVSm03qNU7zE1mv1QSKnsA,815,4.0,https://www.yelp.com/biz/mangoseed-restaurant-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11226'}","{'latitude': 40.6541492290788, 'longitude': -73.9593708515167}"
Mangoseed and Zurilee,mangoseed-and-zurilee-brooklyn,xnw88LhmiI7_ktRTVYbESw,270,4.5,https://www.yelp.com/biz/mangoseed-and-zurilee-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11226'}","{'latitude': 40.6545, 'longitude': -73.95946}"
Wheated,wheated-brooklyn,_AqeaDQnMaErG19LobuU8Q,331,4.5,https://www.yelp.com/biz/wheated-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.6465968960541, 'longitude': -73.9704950265688}"
Werkstatt,werkstatt-brooklyn-2,FXBrt0VpeBRengdd4fBOZw,248,4.5,https://www.yelp.com/biz/werkstatt-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.645298, 'longitude': -73.970234}"
Bonafini,bonafini-brooklyn-2,wnyX_yg4ddSDkupwFKftIA,360,4.0,https://www.yelp.com/biz/bonafini-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11225'}","{'latitude': 40.65704, 'longitude': -73.96003}"
The OX Tavern,the-ox-tavern-brooklyn,I8U2B8O3uXhhXYhRrOH_Xg,521,4.0,https://www.yelp.com/biz/the-ox-tavern-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11230'}","{'latitude': 40.63489, 'longitude': -73.96497}"
Sycamore Bar + Flowershop,sycamore-bar-flowershop-brooklyn,9jfohlQqJTjxsuM8SPiBpQ,329,4.0,https://www.yelp.com/biz/sycamore-bar-flowershop-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.639719, 'longitude': -73.967158}"
The Castello Plan,the-castello-plan-brooklyn,samBmcA_ysePpw5VYWgxdg,352,4.0,https://www.yelp.com/biz/the-castello-plan-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.6403278076802, 'longitude': -73.9666944709866}"
Sip Unwine,sip-unwine-brooklyn,7lPqxohBRjnpJjvNjRQUoA,160,4.0,https://www.yelp.com/biz/sip-unwine-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11226'}","{'latitude': 40.64101, 'longitude': -73.95592}"
Mondayoff by Plant Love House,mondayoff-by-plant-love-house-brooklyn,cvJ39wrAYnquWuMhfFAS2w,210,4.0,https://www.yelp.com/biz/mondayoff-by-plant-love-house-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.639164, 'longitude': -73.969124}"
Parkside,parkside-brooklyn,fNRRmvVKTbEBSaAOcA-3bA,185,4.0,https://www.yelp.com/biz/parkside-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11225'}","{'latitude': 40.655949, 'longitude': -73.959599}"
Krupa Grocery,krupa-grocery-brooklyn,AHB-e8F_dipajUaz_PJgDA,306,4.5,https://www.yelp.com/biz/krupa-grocery-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.6598242, 'longitude': -73.980508}"
Le Paddock,le-paddock-brooklyn,3R-S958SenPaaveuPzSN9g,298,4.0,https://www.yelp.com/biz/le-paddock-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.65295, 'longitude': -73.97588}"
Risbo,risbo-brooklyn-3,8vDBwBThldNxqvQ7ur1Uzw,173,4.0,https://www.yelp.com/biz/risbo-brooklyn-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11225'}","{'latitude': 40.6560593, 'longitude': -73.9597273}"
Erv's on Beekman,ervs-on-beekman-prospect-lefferts-gardens,6pwTkO1PYje2esPRtY2KRA,151,4.0,https://www.yelp.com/biz/ervs-on-beekman-prospect-lefferts-gardens?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Prospect Lefferts Gardens', 'postal_code': '11225'}","{'latitude': 40.65992, 'longitude': -73.96091}"
Manchego Koko,manchego-koko-brooklyn-5,khM6CxlYEY7otMW5ba0CCw,147,4.0,https://www.yelp.com/biz/manchego-koko-brooklyn-5?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11226'}","{'latitude': 40.641022, 'longitude': -73.96426}"
Midwood Flats,midwood-flats-prospect-lefferts-gardens,8lHTKVJyiK9V8WiJq9-khQ,269,4.0,https://www.yelp.com/biz/midwood-flats-prospect-lefferts-gardens?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Prospect Lefferts Gardens', 'postal_code': '11225'}","{'latitude': 40.6596512, 'longitude': -73.9603844}"
Salem's Hour,salems-hour-brooklyn,SKiRMBoiZkxksHN4S0ZzJg,131,4.5,https://www.yelp.com/biz/salems-hour-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11225'}","{'latitude': 40.660554, 'longitude': -73.9507766}"
Hinterlands Bar,hinterlands-bar-brooklyn,xXdGPmh9q2b2Jl9pUx9XAw,76,4.5,https://www.yelp.com/biz/hinterlands-bar-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.6459944936653, 'longitude': -73.9720572353496}"
La Puerta Roja,la-puerta-roja-brooklyn,wXsKW3ki5YrCqwwibwrGOA,104,4.0,https://www.yelp.com/biz/la-puerta-roja-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.63982, 'longitude': -73.96716}"
The Double Windsor,the-double-windsor-brooklyn,xd7ioU33jkwx0hQ3kUNIOg,425,4.0,https://www.yelp.com/biz/the-double-windsor-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.66063, 'longitude': -73.98056}"
Flatbush Zombie House,flatbush-zombie-house-brooklyn,ZNEFXERBvl7i_QQojRoKNQ,102,4.0,https://www.yelp.com/biz/flatbush-zombie-house-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11226'}","{'latitude': 40.6550392260637, 'longitude': -73.9600387215614}"
Hamilton's,hamiltons-brooklyn-3,BhFOYn0nRcugPJM03r447w,304,3.5,https://www.yelp.com/biz/hamiltons-brooklyn-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11218'}","{'latitude': 40.64872, 'longitude': -73.97731}"
Caribbean Social,caribbean-social-brooklyn-2,Ifulg3w2jAW_VbgURpmr5g,326,3.0,https://www.yelp.com/biz/caribbean-social-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11226'}","{'latitude': 40.65164, 'longitude': -73.95886}"
Gino's Trattoria,ginos-trattoria-brooklyn-2,2BJCPzGoWnOFgDbvoHi1Tw,240,3.5,https://www.yelp.com/biz/ginos-trattoria-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11225'}","{'latitude': 40.6605221493743, 'longitude': -73.9606475830078}"
